apg,refund,3
apg,paid,20
apg,complete,27
apg,order_refunded,42
apg,received,305
apg,canceled,1361
bankalfalah,closed,5
bankalfalah,processing,8
bankalfalah,holded,15
bankalfalah,payment_review,57
bankalfalah,refund,114
bankalfalah,paid,183
bankalfalah,complete,586
bankalfalah,order_refunded,745
bankalfalah,received,5165
bankalfalah,canceled,16179
cashatdoorstep,received,4
cashatdoorstep,complete,5
cod,pending_paypal,4
cod,processing,20
cod,closed,109
cod,refund,2222
cod,cod,2851
cod,canceled,8854
cod,order_refunded,20173
cod,received,27076
cod,complete,41607
customercredit,pending,3
customercredit,closed,13
customercredit,canceled,21
customercredit,refund,82
customercredit,paid,98
customercredit,order_refunded,673
customercredit,received,1401
customercredit,complete,1411
Easypay,holded,2
Easypay,closed,16
Easypay,paid,193
Easypay,refund,700
Easypay,order_refunded,1944
Easypay,received,7449
Easypay,complete,17312
Easypay,canceled,42063
Easypay_MA,paid,30
Easypay_MA,refund,137
Easypay_MA,order_refunded,215
Easypay_MA,received,986
Easypay_MA,complete,2485
Easypay_MA,canceled,7683
easypay_voucher,closed,2
easypay_voucher,paid,18
easypay_voucher,pending,33
easypay_voucher,refund,233
easypay_voucher,order_refunded,368
easypay_voucher,received,2070
easypay_voucher,canceled,11267
easypay_voucher,complete,15772
financesettlement,canceled,1
jazzvoucher,paid,6
jazzvoucher,pending,12
jazzvoucher,refund,27
jazzvoucher,order_refunded,140
jazzvoucher,complete,876
jazzvoucher,received,1769
jazzvoucher,canceled,3215
jazzwallet,processing,1
jazzwallet,closed,2
jazzwallet,paid,26
jazzwallet,refund,70
jazzwallet,order_refunded,105
jazzwallet,complete,837
jazzwallet,received,1435
jazzwallet,canceled,4193
mcblite,received,2
mcblite,canceled,2
mcblite,complete,86
mcblite,order_refunded,118
Payaxis,processing,4
Payaxis,holded,8
Payaxis,closed,29
Payaxis,paid,182
Payaxis,refund,232
Payaxis,order_refunded,1190
Payaxis,received,4113
Payaxis,complete,7964
Payaxis,canceled,17327
